Lieu : Mnémonique;Programme : Code;Programme : Libellé;Programme : Etat;Programme : Date de création;Programme : Droit : Personne : Responsable : NOM Prénom : Liste
126-P-013;CHIMIE_ECHPASS_DGT;Suivi des contaminants chimiques (métaux) par échantillonneurs passifs DGT;Actif;18/07/2013;AMOUROUX Isabelle|DESTISON Leo|DUVAL Magali|LE ROUX Alois|MAUREL Laurence|MUNARON Dominique|NOGUES Christophe
126-P-006;CHIMIE_ECHPASS_POCIS;Suivi des contaminants chimiques par échantillonneurs passifs POCIS;Actif;18/07/2013;AMOUROUX Isabelle|CIMITERRA Nicolas|DESTISON Leo|DUVAL Magali|LE ROUX Alois|MAUREL Laurence|MUNARON Dominique|NOGUES Christophe
126-P-013;CHIMIE_ECHPASS_SBSE;Suivi des contaminants chimiques par échantillonneurs passifs SBSE;Actif;18/07/2013;AMOUROUX Isabelle|DESTISON Leo|DUVAL Magali|LE ROUX Alois|MAUREL Laurence|MUNARON Dominique|NOGUES Christophe
126-S-356;CONSTRUI_RUN_PA_POISSONS;Projet CONSTRUI Réunion - Parcours aléatoire poissons;Actif;18/06/2024;DUVAL Magali|MAUREL Laurence|RUNGASSAMY Tevamie
126-S-356;DECHETS_FLOTTANTS_MICROPLASTIQUE_REUNION;Programme de surveillance Microplastiques Flottants à la Réunion;Actif;07/01/2022;DUVAL Magali|MAUREL Laurence|TURQUET Jean
126-S-356;DECHETS_FLOTTANTS_REUNION;Programme de surveillance Macrodéchets Flottants à la Réunion;Actif;19/09/2023;DUVAL Magali|MAUREL Laurence
126-P-534;DECHETS_FOND_PLONGEE_REUNION;Programme de surveillance des macrodéchets sur les récifs coralliens à la Réunion;Actif;07/01/2022;DUVAL Magali|MAUREL Laurence
126-L-486;DECHETS_PLAGES_REUNION;Programme de surveillance des déchets sur les plages à la Réunion;Actif;06/01/2022;DUVAL Magali|MAUREL Laurence|TURQUET Jean
126-P-479;DECHETS_SEDIMENTS_MICROPLASTIQUES_ROCCH;ROCCH sédiment - volet Microplastiques;Actif;24/06/2024;GROUHEL-PELLOUIN Anne
126-P-400;EFFET-RESERVE_LAREUNION_BELT_POISSON;Suivi de l'effet de la Réserve Marine Réunion sur les poissons (BELT);Actif;04/11/2020;DUVAL Magali|MAUREL Laurence|RUNGASSAMY Tevamie
126-P-026;EFFET-RESERVE_LAREUNION_PA_BENTHOS;Suivi de l'effet de la Réserve Marine Réunion sur le corail (PA);Actif;10/11/2020;CAUVIN Bruce|DUVAL Magali|MAUREL Laurence|RUNGASSAMY Tevamie
126-P-034;EFFET-RESERVE_LAREUNION_PA_POISSON;Suivi de l'effet de la Réserve Marine Réunion sur les poissons (PA);Actif;04/11/2020;DUVAL Magali|MAUREL Laurence|RUNGASSAMY Tevamie
126-P-403;EFFET-RESERVE_LAREUNION_PHOTOQ_BENTHOS;Suivi de l'effet réserve sur la communauté benthique à travers les photoquadrats (CPCe);Actif;05/04/2024;CAUVIN Bruce|DUVAL Magali|MAUREL Laurence|RUNGASSAMY Tevamie
126-P-553;EI_RUN_BASSIN_GRANDE-ANSE_BELT_POISSON;Etude d'impact de l'extension du bassin de Grande-Anse - Belt Poisson;Actif;30/05/2024;DUVAL Magali|MAUREL Laurence
126-P-553;EI_RUN_BASSIN_GRANDE-ANSE_LIT_BENTHOS;Etude d'impact de l'extension du bassin de Grande-Anse - LIT Benthos;Actif;30/05/2024;DUVAL Magali|MAUREL Laurence
